name,brand,category,price,stock,sellingType,pricePerKg,weightIncrement,status,variant,isFeatured,description,imageUrl
Flour (Aata),Double Aam,Flour,40,50,loose,40,250,hot,dailyuse,TRUE,Fresh and pure chakki aata.,
Patatoes ( Aalu ),,Vegetable,20,30,loose,20,250,hot,dailyuse,TRUE,Fresh and meduim or big size Patatoes.,
Onions ( Pyaaz ),,Vegetable,60,30,loose,60,250,hot,dailyuse,TRUE,Fresh and meduim or big size Onions.,
Ashirwaad Aata 5kg,Ashirwaad,Flour,300,10,fixed,,,new,dailyuse,FALSE,"Fresh and pure Ashirwaad aata , weight 5kg packet.",
Maida,Double Aam,Flour,40,50,loose,40,250,new,dailyuse,FALSE,Fresh and pure Maida.,
Suji,Double Aam,Flour,40,30,loose,40,250,new,dailyuse,FALSE,Fresh and pure suji.,
Suji 250g packet,Patanjali,Flour,50,10,fixed,,,new,dailyuse,FALSE,"Fresh and pure suji . Somethimes wait maybe different either 200g or 250g . Packet brand also may differ either ""FORTUNE"" or ""PATANJALI"".",
Rice (Chawal),,Rice,60,50,loose,60,250,new,dailyuse,TRUE,"This is nnormal rice .you get usually (Aahar Chawal). This ia also know as ""Pakka Chawal"". ",
Baba Rice,,Rice,80,50,loose,80,250,new,dailyuse,FALSE,"Pure baba rice company. This is ""Half bolled rice"".",
Biryani Rice,,Rice,140,30,loose,140,250,new,dailyuse,FALSE,"This Rice is usually for making ""Pulaw, Jira Rice and sometimes Biryani"".",
Chiwra,,Rice,50,30,loose,50,250,new,dailyuse,FALSE,"Chiwa is also known as ""Bitten Rice"". Its made with Rice in mills.",
Sugar,,Sugar,60,50,loose,60,250,new,dailyuse,TRUE,"Sugar is also known ""Chinni"".",
Mitha,,Sugar,60,25,loose,50,100,new,dailyuse,FALSE,Mithha is vastly used in Puja and also for eating . You get fresh and unmelted quality of mitha.,
Rahar Dal,,Pulse,120,30,loose,120,250,new,dailyuse,TRUE,"Fresh and healthy  quality ""Rahar Dal"". Easily cooked in time.",
Mansori Dal,,Pulse,80,30,loose,80,250,new,dailyuse,TRUE,"Fresh and healthy  quality ""Mansoori Dal"". Easily cooked in time.",
Mung Dal,,Pulse,120,10,loose,120,100,new,dailyuse,FALSE,"Fresh and healthy  quality ""Mung Dal"". Easily cooked in time.",
Urad Dal,,Pulse,120,10,loose,120,100,new,dailyuse,FALSE,"Fresh and healthy  quality ""Urad Dal"". Easily cooked in time.",
Channa Dal,,Pulse,80,30,loose,80,100,hot,dailyuse,FALSE,"Fresh and healthy  quality ""Channa Dal"". Easily cooked in time.",
Fortune Refine 500ml,Fortune,Refine,85,30,fixed,,,hot,oilrefine,TRUE,Refine oiled for coooking food. Best and pure quality of refine.,
Fortune Refine 1ltre,Fortune,Refine,160,30,fixed,,,hot,oilrefine,TRUE,Refine oiled for coooking food. Best and pure quality of refine.,
Nature Fresh Refine 500 ml,Nature Fresh,Refine,85,30,fixed,,,hot,oilrefine,TRUE,Refine oiled for coooking food. Best and pure quality of refine,
Nature Fresh Refine 1ltre,Nature Fresh,Refine,160,30,fixed,,,hot,oilrefine,TRUE,Refine oiled for coooking food. Best and pure quality of refine,
Palm oil 500ml,,Refine,65,30,fixed,,,new,oilrefine,FALSE,Palm oiled for coooking food. ,
Palm oil 1ltre,,Refine,130,30,fixed,,,new,oilrefine,FALSE,Palm oiled for coooking food. ,
Hawai ghora oil 250ml,Hawai Ghora,Oil,50,30,fixed,,,new,oilrefine,FALSE,"Sarso oiled for coooking food. Pure Kachi Ghani ""Sarso Tel"", Sometimes u get different brand 250ml oil.",
Hawai ghora oil 500ml,Hawai Ghora,Oil,95,30,fixed,,,new,oilrefine,TRUE,"Sarso oiled for coooking food. Pure Kachi Ghani ""Sarso Tel"".  ",
Hawai ghora oil 1ltre,Hawai Ghora,Oil,190,30,fixed,,,hot,oilrefine,TRUE,"Sarso oiled for coooking food. Pure Kachi Ghani ""Sarso Tel"".         Notes: You don�t get in bottle.",
Nature Fresh oil 1ltre,Nature Fresh,Oil,180,30,fixed,,,hot,oilrefine,TRUE,"Sarso oiled for coooking food. Pure Kachi Ghani ""Sarso Tel"".         Notes: You don�t get in bottle.",
Channa,,Grain,80,30,loose,80,250,new,dailyuse,FALSE,"This is black channa. Usually use for cooking with vegtables, we can eat raw after dipped in water for hours.",
Channa Sattu,,Grain,100,15,loose,100,100,new,dailyuse,FALSE,pure and Fresh Chhanna saatu.,
Besan,,Grain,120,15,loose,120,100,new,dailyuse,TRUE,pure and Fresh Chhanna Besan.,
Bihari sattu 250g packet,,Grain,30,30,fixed,,,new,dailyuse,FALSE,pure and Fresh Chhanna saatu packet. Sometimes Weight of Packet may be differ either 200g or 250g packet.,
Bihari sattu 500g packet,,Grain,60,30,fixed,,,new,dailyuse,FALSE,pure and Fresh Chhanna saatu packet.,
Besan  250g packet,Fortune,Grain,35,15,fixed,,,new,dailyuse,TRUE,"pure and Fresh Chhanna Besan ""Fortune"" 250g or 200g packet.",
Besan 500g packet,Fortune,Grain,70,15,fixed,,,new,dailyuse,FALSE,"pure and Fresh Chhanna Besan ""Fortune"" 500g packet.",
Kabli Channa,,Grain,80,30,loose,80,250,new,dailyuse,FALSE,"This is Kabli channa. Usually use for cooking with vegtables,we can Make Choola with Kabli Channa.",
Matar,,Grain,80,30,loose,80,100,new,dailyuse,FALSE,"This is Kabli Matar. Usually use for cooking with vegtables, we can Make Choola with matar.",
Soya Chunk,Fortune,Grain,100,25,loose,100,100,new,dailyuse,FALSE,"Soya chunk is also known ""Soya bean"" in local area. Healthy and tastly .",
Soya Chunk packet,Fortune,Grain,10,25,fixed,,,hot,dailyuse,TRUE,"Soya chunk is also known ""Soya bean"" in local area. Healthy and tastly .",
Lahsun ,,Masala,120,50,loose,120,50,hot,masala,FALSE,Lahsun is better for our health. Big and fresh quality Lahsun.,
Laal Mirch ( Chilli ),,Masala,260,30,loose,260,50,hot,masala,FALSE,Red chilli.,
Dhaniya ( Coriander ),,Masala,120,30,loose,120,50,hot,masala,FALSE,Fresh Dhaniya.,
Haldi ( Turmeric ),,Masala,180,30,loose,180,50,hot,masala,FALSE,Fresh and yellow Turmeric.,
Jeera ( Cumin ),,Masala,600,10,loose,600,50,hot,masala,FALSE,Jeera.,
Kali Marich ( Black Pepper ),,Masala,800,10,loose,800,50,hot,masala,FALSE,Black pepper.,
Mirch Powder,,Masala,300,5,loose,300,50,new,masala,FALSE,Red chilli powder.,
Dhaniya Powder,,Masala,200,5,loose,200,50,new,masala,FALSE,Fresh Dhaniya powder.,
Haldi Powder,,Masala,260,5,loose,260,50,new,masala,FALSE,Fresh and yellow Turmeric powder.,
Jeera Powder,,Masala,800,5,loose,800,50,new,masala,FALSE,Jeera powder.,
Kali Marich Powder,,Masala,1000,5,loose,1000,50,new,masala,FALSE,Black pepper powder.,
Mix Masala Powder,,Masala,30,5,loose,30,50,new,masala,FALSE,All masala powder are mixed together.,
Garam masala,Goldiee,Masala,10,10,fixed,,,hot,masala,TRUE,"Garam masala. Sometimes brand may be differ like ""Everest, Goldiee, Pushp or somethings other""",
Garam masala 10 rupee,,Masala,10,10,fixed,,,hot,masala,TRUE,"Garam masala. Sometimes brand may be differ like ""Everest, Goldiee, Pushp or somethings other""",
Garam masala 20 rupee,,Masala,10,10,fixed,,,hot,masala,FALSE,"Garam masala. Sometimes brand may be differ like ""Everest, Goldiee, Pushp or somethings other""",
Garam masala 50 rupee,,Masala,10,10,fixed,,,hot,masala,FALSE,"Garam masala. Sometimes brand may be differ like ""Everest, Goldiee, Pushp or somethings other""",
Garam masala 100g,Goldiee,Masala,40,10,fixed,,,hot,masala,FALSE,"Garam masala. Sometimes brand may be differ like ""Everest, Goldiee, Pushp or somethings other""",
Chicken masala,Goldiee,Masala,10,10,fixed,,,hot,masala,TRUE,"Chicken masala. Sometimes brand may be differ like ""Everest, Goldiee, Pushp or somethings other""",
Chicken masala 100g,Goldiee,Masala,40,10,fixed,,,hot,masala,FALSE,"Chicken masala. Sometimes brand may be differ like ""Everest, Goldiee, Pushp or somethings other""",
Meat masala,Goldiee,Masala,10,10,fixed,,,hot,masala,TRUE,"Meat masala. Sometimes brand may be differ like ""Everest, Goldiee, Pushp or somethings other""",
Meat masala 100g,Goldiee,Masala,40,10,fixed,,,hot,masala,FALSE,"Meat masala. Sometimes brand may be differ like ""Everest, Goldiee, Pushp or somethings other""",
